Date,Kilometerstand
2016-02-01,0
2016-02-02,13
2016-02-03,13
2016-02-04,13
2016-02-05,34
2016-02-06,34
2016-02-07,40
2016-02-08,42
2016-02-09,42
2016-02-10,58
2016-02-11,89
2016-02-12,94
2016-02-13,96
2016-02-14,131
2016-02-15,131
2016-02-16,131
2016-02-17,140
2016-02-18,185
2016-02-19,446
2016-02-20,478
2016-02-21,479
2016-02-22,495
2016-02-23,532
2016-02-24,571
2016-02-25,571
2016-02-26,571
2016-02-27,581
2016-02-28,581
2016-02-29,622
2016-03-01,660
2016-03-02,882
2016-03-03,882
2016-03-04,882
2016-03-05,947
2016-03-06,1090
2016-03-07,1111
2016-03-08,1393
2016-03-09,1434
2016-03-10,1434
2016-03-11,1447
2016-03-12,1452
2016-03-13,1452
2016-03-14,1499
2016-03-15,1549
2016-03-16,1559
2016-03-17,1624
2016-03-18,1820
2016-03-19,1852
2016-03-20,2061
2016-03-21,2078
2016-03-22,2123
2016-03-23,2135
2016-03-24,2175
2016-03-25,2223
2016-03-26,2237
2016-03-27,2258
2016-03-28,2297
2016-03-29,2297
2016-03-30,2297
2016-03-31,2319
2016-04-01,2322
2016-04-02,2345
2016-04-03,2386
2016-04-04,2386
2016-04-05,2402
2016-04-06,2402
2016-04-07,2544
2016-04-08,2570
2016-04-09,2570
2016-04-10,2570
2016-04-11,2571
2016-04-12,2605
2016-04-13,2616
2016-04-14,2616
2016-04-15,2629
2016-04-16,2670
2016-04-17,2672
2016-04-18,2687
2016-04-19,2694
2016-04-20,2694
2016-04-21,2728
2016-04-22,2809
2016-04-23,2828
2016-04-24,2828
2016-04-25,2848
2016-04-26,2848
2016-04-27,2848
2016-04-28,2848
2016-04-29,2881
2016-04-30,3035
2016-05-01,3071
2016-05-02,3136
2016-05-03,3162
2016-05-04,3330
2016-05-05,3331
2016-05-06,3371
2016-05-07,3399
2016-05-08,3424
2016-05-09,3454
2016-05-10,3495
2016-05-11,3542
2016-05-12,3554
2016-05-13,3583
2016-05-14,3602
2016-05-15,3630
2016-05-16,3634
2016-05-17,3683
2016-05-18,3733
2016-05-19,3736
2016-05-20,3772
2016-05-21,3789
2016-05-22,3824
2016-05-23,4048
2016-05-24,4092
2016-05-25,4092
2016-05-26,4092
2016-05-27,4092
2016-05-28,4132
2016-05-29,4156
2016-05-30,4172
2016-05-31,4285
2016-06-01,4304
2016-06-02,4312
2016-06-03,4318
2016-06-04,4542
2016-06-05,4589
2016-06-06,4604
2016-06-07,4635
2016-06-08,4635
2016-06-09,4671
2016-06-10,4671
2016-06-11,4674
2016-06-12,4674
2016-06-13,4683
2016-06-14,4717
2016-06-15,4757
2016-06-16,4757
2016-06-17,4757
2016-06-18,4789
2016-06-19,4888
2016-06-20,4920
2016-06-21,4943
2016-06-22,4962
2016-06-23,4962
2016-06-24,4968
2016-06-25,4968
2016-06-26,5010
2016-06-27,5221
2016-06-28,5460
2016-06-29,5509
2016-06-30,5554
2016-07-01,5554
2016-07-02,5579
2016-07-03,5680
2016-07-04,5693
2016-07-05,5708
2016-07-06,5708
2016-07-07,5743
2016-07-08,5761
2016-07-09,5763
2016-07-10,5777
2016-07-11,5825
2016-07-12,5825
2016-07-13,5828
2016-07-14,5846
2016-07-15,5889
2016-07-16,5889
2016-07-17,5889
2016-07-18,5889
2016-07-19,6115
2016-07-20,6115
2016-07-21,6145
2016-07-22,6145
2016-07-23,6145
2016-07-24,6169
2016-07-25,6177
2016-07-26,6181
2016-07-27,6189
2016-07-28,6193
2016-07-29,6203
2016-07-30,6208
2016-07-31,6314
2016-08-01,6361
2016-08-02,6361
2016-08-03,6406
2016-08-04,6478
2016-08-05,6479
2016-08-06,6493
2016-08-07,6517
2016-08-08,6517
2016-08-09,6540
2016-08-10,6592
2016-08-11,6614
2016-08-12,6624
2016-08-13,6661
2016-08-14,6706
2016-08-15,6836
2016-08-16,7108
2016-08-17,7108
2016-08-18,7166
2016-08-19,7215
2016-08-20,7220
2016-08-21,7226
2016-08-22,7248
2016-08-23,7266
2016-08-24,7439
2016-08-25,7439
2016-08-26,7439
2016-08-27,7466
2016-08-28,7467
2016-08-29,7474
2016-08-30,7482
2016-08-31,7511
2016-09-01,7548
2016-09-02,7569
2016-09-03,7592
2016-09-04,7592
2016-09-05,7656
2016-09-06,7884
2016-09-07,7884
2016-09-08,7884
2016-09-09,7976
2016-09-10,8071
2016-09-11,8090
2016-09-12,8090
2016-09-13,8090
2016-09-14,8134
2016-09-15,8139
2016-09-16,8144
2016-09-17,8147
2016-09-18,8173
2016-09-19,8214
2016-09-20,8220
2016-09-21,8237
2016-09-22,8237
2016-09-23,8238
2016-09-24,8244
2016-09-25,8246
2016-09-26,8284
2016-09-27,8284
2016-09-28,8284
2016-09-29,8328
2016-09-30,8369
2016-10-01,8390
2016-10-02,8425
2016-10-03,8446
2016-10-04,8494
2016-10-05,8497
2016-10-06,8547
2016-10-07,8767
2016-10-08,9030
2016-10-09,9066
2016-10-10,9105
2016-10-11,9105
2016-10-12,9105
2016-10-13,9135
2016-10-14,9137
2016-10-15,9171
2016-10-16,9183
2016-10-17,9315
2016-10-18,9320
2016-10-19,9456
2016-10-20,9456
2016-10-21,9506
2016-10-22,9506
2016-10-23,9506
2016-10-24,9522
2016-10-25,9543
2016-10-26,9685
2016-10-27,9703
2016-10-28,9703
2016-10-29,9742
2016-10-30,9755
2016-10-31,9756
2016-11-01,9801
2016-11-02,9846
2016-11-03,10089
2016-11-04,10089
2016-11-05,10107
2016-11-06,10107
2016-11-07,10128
2016-11-08,10170
2016-11-09,10184
2016-11-10,10204
2016-11-11,10244
2016-11-12,10275
2016-11-13,10321
2016-11-14,10358
2016-11-15,10543
2016-11-16,10550
2016-11-17,10550
2016-11-18,10593
2016-11-19,10611
2016-11-20,10611
2016-11-21,10767
2016-11-22,10767
2016-11-23,10803
2016-11-24,10849
2016-11-25,10849
2016-11-26,10849
2016-11-27,10898
2016-11-28,10916
2016-11-29,10926
2016-11-30,10926
2016-12-01,11218
2016-12-02,11218
2016-12-03,11259
2016-12-04,11300
2016-12-05,11313
2016-12-06,11322
2016-12-07,11322
2016-12-08,11357
2016-12-09,11401
2016-12-10,11425
2016-12-11,11723
2016-12-12,11754
2016-12-13,11785
2016-12-14,11785
2016-12-15,11854
2016-12-16,12006
2016-12-17,12014
2016-12-18,12052
2016-12-19,12336
2016-12-20,12363
2016-12-21,12368
2016-12-22,12389
2016-12-23,12535
2016-12-24,12607
2016-12-25,12725
2016-12-26,12728
2016-12-27,12771
2016-12-28,12771
2016-12-29,12791
2016-12-30,12794
2016-12-31,12990
2017-01-01,12990
2017-01-02,13016
2017-01-03,13063
2017-01-04,13063
2017-01-05,13304
2017-01-06,13304
2017-01-07,13317
2017-01-08,13317
2017-01-09,13323
2017-01-10,13349
2017-01-11,13501
2017-01-12,13545
2017-01-13,13554
2017-01-14,13556
2017-01-15,13557
2017-01-16,13557
2017-01-17,13582
2017-01-18,13585
2017-01-19,13625
2017-01-20,13663
2017-01-21,13766
2017-01-22,13780
2017-01-23,13819
2017-01-24,13837
2017-01-25,13837
2017-01-26,13837
2017-01-27,13869
2017-01-28,13877
2017-01-29,13917
2017-01-30,13924
2017-01-31,13924
2017-02-01,13965
2017-02-02,13965
2017-02-03,14008
2017-02-04,14035
2017-02-05,14054
2017-02-06,14086
2017-02-07,14125
2017-02-08,14211
2017-02-09,14256
2017-02-10,14293
2017-02-11,14310
2017-02-12,14310
2017-02-13,14322
2017-02-14,14361
2017-02-15,14361
2017-02-16,14384
2017-02-17,14386
2017-02-18,14409
2017-02-19,14659
2017-02-20,14702
2017-02-21,14702
2017-02-22,14736
2017-02-23,14736
2017-02-24,14749
2017-02-25,14757
2017-02-26,15026
2017-02-27,15070
2017-02-28,15070
2017-03-01,15120
2017-03-02,15151
2017-03-03,15151
2017-03-04,15178
2017-03-05,15178
2017-03-06,15191
2017-03-07,15191
2017-03-08,15191
2017-03-09,15454
2017-03-10,15481
2017-03-11,15526
2017-03-12,15563
2017-03-13,15784
2017-03-14,15968
2017-03-15,15968
2017-03-16,16102
